TractFIPS,StateAbbr,obesity,diabetes,hypertension,chd,physical_inactivity,burden
06037461400,CA,27.2,10.8,30.1,5.4,,-0.303573
08059011951,CO,24.0,8.4,27.8,5.2,,-0.607980
17031242000,IL,27.5,7.1,21.2,3.3,,-0.967133
22033004016,LA,27.8,7.3,27.6,3.9,,-0.705513
24045010501,MD,34.5,10.4,34.1,5.6,,0.014612
36081129103,NY,24.7,10.9,31.3,6.0,,-0.270804
36103145702,NY,35.8,11.6,28.7,4.7,,-0.131654
47157021138,TN,31.6,8.7,30.0,3.9,,-0.456438
04019004107,AZ,29.9,6.7,25.2,4.0,,-0.733683
05007020901,AR,33.4,5.4,22.5,2.8,,-0.908846
06059086901,CA,30.5,12.6,28.4,5.3,,-0.171771
36071012602,NY,35.9,11.6,32.9,6.2,,0.150242
47157022023,TN,44.3,16.0,42.7,5.0,,0.764994
47189030303,TN,33.4,11.3,36.6,6.1,,0.155008
48091310403,TX,31.7,9.5,30.3,5.0,,-0.283254
09009175900,CT,27.8,8.9,31.9,5.9,,-0.283970
26165380800,MI,34.9,12.1,38.4,8.9,,0.593820
36029016500,NY,36.1,7.3,25.0,3.4,,-0.596412
36063023405,NY,35.4,11.6,32.5,6.2,,0.124978
06029002818,CA,32.6,10.3,29.9,5.3,,-0.193539
13089021214,GA,24.7,8.2,31.3,4.8,,-0.545200
30047000100,MT,31.1,9.9,31.5,6.7,,-0.061285
42051261600,PA,38.0,12.0,37.5,8.1,,0.564691
51059481000,VA,27.0,7.0,21.1,2.6,,-1.065339
06079013000,CA,29.8,10.3,31.6,6.1,,-0.139075
13305970200,GA,40.4,14.0,40.3,7.1,,0.708761
42025020105,PA,38.3,11.1,34.7,6.4,,0.263159
47037018901,TN,33.4,12.0,33.1,6.5,,0.138794
53033022802,WA,20.5,5.3,20.5,2.8,,-1.335439
13021013201,GA,43.7,15.0,40.4,5.7,,0.706722
21111012502,KY,41.9,14.8,40.5,8.4,,0.940565
24027601107,MD,31.3,7.9,25.9,3.5,,-0.664689
27053023802,MN,25.4,6.6,24.4,4.0,,-0.888810
06053012402,CA,22.0,9.2,30.5,5.8,,-0.482063
48471790800,TX,30.1,5.9,20.5,3.0,,-1.009450
53029971500,WA,29.4,9.5,33.7,6.3,,-0.113277
01101005603,AL,44.3,14.7,38.9,4.7,,0.557694
20091053705,KS,33.5,6.4,24.5,3.4,,-0.732087
23019940000,ME,45.0,15.4,35.9,7.3,,0.813767
34007600900,NJ,43.7,17.0,34.7,6.0,,0.688155
36047080600,NY,31.1,11.4,30.9,4.2,,-0.268881
39047925900,OH,44.1,12.7,38.4,7.6,,0.745798
47157021200,TN,41.6,9.0,32.3,3.0,,-0.190686
48113000201,TX,26.4,5.3,23.1,3.1,,-1.063538
06037910601,CA,36.8,14.0,29.0,5.2,,0.087473
25023521101,MA,28.6,7.2,25.6,5.0,,-0.624304
36005042901,NY,33.1,12.7,27.2,4.7,,-0.191018
39085202700,OH,34.9,9.4,32.7,5.4,,-0.087962
51161030900,VA,34.4,10.2,37.3,6.1,,0.143992
51153901100,VA,32.4,3.4,16.5,1.4,,-1.362163
55079185900,WI,47.7,15.8,42.8,5.9,,0.951100
02020001300,AK,29.8,6.9,28.7,4.8,,-0.542083
08081000500,CO,27.7,7.5,24.8,4.6,,-0.699346
18055955000,IN,39.1,13.7,39.9,8.2,,0.764071
27111960900,MN,36.2,9.5,31.3,6.6,,0.045585
36023971200,NY,38.9,10.1,29.8,5.8,,0.025886
37119006209,NC,29.2,6.0,20.9,3.0,,-1.018544
40143007619,OK,33.3,11.8,38.9,7.5,,0.394450
44003020702,RI,30.0,8.5,32.8,5.4,,-0.272235
25009204200,MA,32.0,8.9,27.8,5.0,,-0.376086
08001008801,CO,36.5,10.9,26.6,5.6,,-0.109799
18003011000,IN,36.6,11.0,35.1,6.6,,0.242381
32003004402,NV,41.8,14.6,33.4,5.5,,0.415793
34023008209,NJ,29.9,8.2,28.3,4.6,,-0.502562
34029736105,NJ,32.5,11.1,35.2,7.7,,0.253515
51143010802,VA,43.5,15.0,41.3,7.4,,0.910349
06053011801,CA,21.2,9.2,32.4,6.2,,-0.408718
26099261600,MI,36.9,9.7,35.3,6.6,,0.186972
29147470400,MO,37.0,10.3,30.7,6.5,,0.083544
36081087100,NY,28.2,15.7,30.5,5.2,,-0.024011
39095008500,OH,40.6,11.9,33.5,6.3,,0.327029
48177000100,TX,39.9,14.5,36.8,7.1,,0.624304
55079002300,WI,49.7,18.2,47.5,6.9,,1.374743
06097154201,CA,32.2,10.9,29.0,6.0,,-0.121853
18097330600,IN,40.1,12.3,34.1,6.1,,0.329160
48453002108,TX,36.6,13.3,33.8,5.0,,0.155731
53005010201,WA,29.6,8.6,29.3,4.9,,-0.429451
01119011600,AL,44.1,18.9,50.5,8.5,,1.509987
06037502602,CA,31.0,11.8,25.1,4.3,,-0.400232
06113010101,CA,31.5,12.3,29.8,5.9,,-0.055577
13099090200,GA,45.6,19.4,48.6,8.5,,1.526586
31055007449,NE,30.7,8.1,31.4,5.3,,-0.323398
