Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,City,City_State
42031160600,Clarion County,Pennsylvania,PA,1.814,-0.652,Urban,5276,28.5,56458.0,Clarion,"Clarion, PA"
42041012300,Cumberland County,Pennsylvania,PA,1.812,-0.648,Urban,2562,30.7,43958.0,Fayetteville,"Fayetteville, PA"
37129010900,New Hanover County,North Carolina,NC,1.811,-0.592,Urban,2250,10.0,51250.0,New Hanover,"New Hanover, NC"
17037001001,DeKalb County,Illinois,IL,1.807,-0.748,Urban,7025,42.0,27686.0,DeKalb,"DeKalb, IL"
17113000104,McLean County,Illinois,IL,1.805,-0.717,Urban,10908,21.5,62800.0,McLean,"McLean, IL"
9013881300,Tolland County,Connecticut,CT,1.804,-0.928,Urban,6189,31.1,76875.0,Tolland,"Tolland, CT"
26125154200,Oakland County,Michigan,MI,1.798,-0.49,Urban,2970,15.9,48625.0,Oakland,"Oakland, MI"
48303000405,Lubbock County,Texas,TX,1.796,-0.59,Urban,10654,26.2,50563.0,Lubbock,"Lubbock, TX"
4013116608,Maricopa County,Arizona,AZ,1.794,-0.845,Urban,3553,24.6,54056.0,Phoenix,"Phoenix, AZ"
51003011302,Albemarle County,Virginia,VA,1.793,-0.877,Urban,3765,29.9,55357.0,Albemarle,"Albemarle, VA"
48491020405,Williamson County,Texas,TX,1.792,-0.515,Urban,6444,13.5,51271.0,Williamson,"Williamson, TX"
4013111203,Maricopa County,Arizona,AZ,1.791,-0.843,Urban,1410,25.6,45298.0,Phoenix,"Phoenix, AZ"
18157005200,Tippecanoe County,Indiana,IN,1.791,-0.408,Urban,4517,22.0,81071.0,Lafayette/West Lafayette,"Lafayette/West Lafayette, IN"
48113014133,Dallas County,Texas,TX,1.778,-0.653,Urban,3909,14.8,46023.0,Dallas,"Dallas, TX"
42101036302,Philadelphia County,Pennsylvania,PA,1.775,-0.602,Urban,3543,6.0,65661.0,Philadelphia,"Philadelphia, PA"
54061011000,Monongalia County,West Virginia,WV,1.771,0.146,Urban,4659,25.7,49821.0,Monongalia,"Monongalia, WV"
