Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
11001007301,District of Columbia,District of Columbia,DC,2.879,-1.842,Urban,3012,5.4,87367.0,11001007301,38.834928,-77.024445
18157010204,Tippecanoe County,Indiana,IN,2.873,-1.055,Urban,12230,32.3,71896.0,18157010204,40.4492884,-86.9553609
36007014302,Broome County,New York,NY,2.865,-1.472,Urban,9094,31.5,88581.0,36007014302,42.0847623,-75.9677373
15003010801,Honolulu County,Hawaii,HI,2.853,-1.908,Urban,2969,9.0,51918.0,15003010801,21.4483864,-157.7625515
37051003401,Cumberland County,North Carolina,NC,2.848,-1.242,Urban,3936,12.0,43398.0,37051003401,35.174034,-79.006925
55139000700,Winnebago County,Wisconsin,WI,2.839,-1.431,Urban,5503,66.1,58750.0,55139000700,44.0265143,-88.5502411
51700032300,Newport News city,Virginia,VA,2.834,-1.229,Urban,5720,11.3,52891.0,51700032300,37.1191479,-76.5931829
19169001301,Story County,Iowa,IA,2.832,-1.319,Urban,9427,44.2,81346.0,19169001301,42.0165367,-93.6739731
17037001002,DeKalb County,Illinois,IL,2.829,-1.358,Urban,5782,58.7,26833.0,17037001002,41.9407063,-88.7853067
13179010101,Liberty County,Georgia,GA,2.817,-1.158,Urban,6221,12.8,39197.0,13179010101,31.9400649,-81.5681577
37051003403,Cumberland County,North Carolina,NC,2.815,-1.221,Urban,3618,11.0,38983.0,37051003403,35.1410519,-79.0175892
48439122300,Tarrant County,Texas,TX,2.815,-1.146,Urban,4112,51.0,35625.0,48439122300,32.7329728,-97.1098417
20161000304,Riley County,Kansas,KS,2.812,-1.116,Urban,5013,25.8,90282.0,20161000304,39.1950445,-96.6022005
26161403600,Washtenaw County,Michigan,MI,2.811,-1.081,Urban,4946,31.5,78750.0,26161403600,42.3120965,-83.7147316
13053020203,Chattahoochee County,Georgia,GA,2.806,-1.2,Urban,1141,10.2,46875.0,13053020203,32.3197419,-84.8778674
20173006600,Sedgwick County,Kansas,KS,2.804,-1.106,Urban,2698,14.6,53917.0,20173006600,37.6198907,-97.2689864
6071010402,San Bernardino County,California,CA,2.803,-1.635,Urban,8442,11.7,40975.0,06071010402,34.459264,-116.1380782
5115951400,Pope County,Arkansas,AR,2.8,-0.805,Urban,4903,27.4,34410.0,05115951400,35.3134136,-93.1620428
20045000801,Douglas County,Kansas,KS,2.799,-1.153,Urban,5498,20.5,85474.0,20045000801,38.9319889,-95.3005521
20161000500,Riley County,Kansas,KS,2.791,-1.103,Urban,4968,63.9,59236.0,20161000500,39.195573,-96.5693657
