TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
20113788500,KS,-0.258848,-0.288095,0.482384,20113788500
18003011501,IN,0.306409,0.220916,-0.369900,18003011501
26125162300,MI,0.661658,0.594199,-0.994923,26125162300
48339692802,TX,0.426132,0.124499,-0.208460,48339692802
39035103300,OH,0.520296,0.183757,-0.307681,39035103300
01097003202,AL,0.810066,0.323612,-0.541854,01097003202
17031836000,IL,0.203433,0.390310,-0.653532,17031836000
26165380700,MI,0.536133,0.452999,-0.758498,26165380700
41039001803,OR,0.127555,0.505526,-0.846449,41039001803
42107003700,PA,0.257923,-0.007755,0.012984,42107003700
01097006407,AL,-0.051612,-0.859498,1.439137,01097006407
06037276100,CA,-0.877984,-0.387814,0.649353,06037276100
36055014204,NY,-0.077321,0.181462,-0.303839,36055014204
41039002903,OR,-0.348115,0.029605,-0.049571,41039002903
42015950100,PA,0.458353,0.228191,-0.382080,42015950100
48439100101,TX,-0.033391,-0.568011,0.951074,48439100101
04013114600,AZ,0.140657,0.430562,-0.720930,04013114600
38101010600,ND,0.250442,0.357767,-0.599043,38101010600
48479001101,TX,0.166454,0.132503,-0.221861,48479001101
08031004603,CO,-0.726258,0.149893,-0.250979,08031004603
26125154500,MI,-0.323274,-0.390817,0.654380,26125154500
23001010100,ME,0.800646,1.033791,-1.730972,23001010100
36081077905,NY,-0.487106,-0.238328,0.399055,36081077905
55075960700,WI,0.762933,0.201172,-0.336842,55075960700
05011950100,AR,0.907725,0.275998,-0.462129,05011950100
22119031600,LA,0.157508,-0.524932,0.878942,22119031600
37045950900,NC,1.809635,1.352079,-2.263911,37045950900
48027023404,TX,0.119147,-0.061816,0.103504,48027023404
48201310100,TX,-0.099176,-0.542227,0.907901,48201310100
06071002803,CA,-0.123270,0.353884,-0.592540,06071002803
06041119201,CA,-0.354447,0.134211,-0.224722,06041119201
36081025500,NY,-0.762361,-0.513202,0.859302,36081025500
54055002400,WV,1.541406,0.534505,-0.894970,54055002400
42007605600,PA,0.348207,0.121363,-0.203209,42007605600
47177930200,TN,0.756327,0.208180,-0.348575,47177930200
53057950100,WA,0.340417,0.578780,-0.969105,53057950100
24005420600,MD,0.557369,0.737787,-1.235345,24005420600
48201550100,TX,0.097132,-0.346194,0.579664,48201550100
18003000800,IN,0.250119,0.164557,-0.275533,18003000800
08059010212,CO,-0.610306,0.255098,-0.427135,08059010212
09001200301,CT,-0.820789,-0.449264,0.752244,09001200301
16011950300,ID,0.287169,-0.250624,0.419643,16011950300
17037000500,IL,-0.149822,-0.480942,0.805285,17037000500
24003730700,MD,-0.133265,0.047914,-0.080227,24003730700
45045002609,SC,-0.529871,-0.646528,1.082541,45045002609
47165021204,TN,-0.193235,-0.415141,0.695109,47165021204
55037190200,WI,0.227344,0.197164,-0.330130,55037190200
09001070500,CT,-0.767330,-0.395764,0.662665,09001070500
01115040201,AL,0.607016,-0.207835,0.347998,01115040201
13117130609,GA,-1.237706,-1.222366,2.046721,13117130609
54053954801,WV,1.316544,0.309676,-0.518519,54053954801
29165030305,MO,-0.172815,-0.290574,0.486536,29165030305
06037602003,CA,-0.232817,0.257239,-0.430719,06037602003
06067009108,CA,-0.376766,0.101928,-0.170668,06067009108
06067008600,CA,-0.070016,0.408671,-0.684276,06067008600
08119010103,CO,-0.717423,0.124779,-0.208930,08119010103
29095008700,MO,1.756326,1.665655,-2.788959,29095008700
37053110200,NC,-0.337636,-0.603208,1.010006,37053110200
24003702702,MD,-0.054871,0.126403,-0.211648,24003702702
51153901510,VA,-0.751229,-0.486974,0.815385,51153901510
06045010900,CA,0.058603,0.224385,-0.375708,06045010900
29209090500,MO,1.061622,0.926681,-1.551627,29209090500
45003020702,SC,0.255743,0.155542,-0.260438,45003020702
06065043217,CA,-0.593298,-0.113855,0.190638,06065043217
06071010411,CA,0.899990,1.055750,-1.767739,06071010411
38015011101,ND,0.027665,0.167859,-0.281061,38015011101
51149850100,VA,0.573509,0.323212,-0.541184,51149850100
31109003001,NE,-0.307115,-0.131340,0.219914,31109003001
26065002000,MI,0.685739,0.125487,-0.210115,26065002000
26163525700,MI,0.270031,0.187836,-0.314512,26163525700
36067003900,NY,1.323407,1.577834,-2.641913,36067003900
39013012400,OH,0.384428,0.056468,-0.094549,39013012400
47143975000,TN,0.880124,0.344905,-0.577506,47143975000
48061010601,TX,0.885511,0.496828,-0.831885,48061010601
19065080200,IA,0.151915,0.014646,-0.024523,19065080200
26091060301,MI,-0.043804,-0.419558,0.702505,26091060301
27003051002,MN,-0.130863,0.346963,-0.580952,27003051002
37025042402,NC,-0.320497,-0.254037,0.425357,37025042402
48439105508,TX,-0.455939,-0.474524,0.794539,48439105508
